id,name,phone_number,places,type,sponsor_id,sponsor_name,street,zip_code,lat,lon,planning_area_id
1010010,Kita F.A.I.R.play,+49302816473,69,Reguläre Einrichtung,1224,GFJ - gemeinnützige Gesellschaft für Familien- und Jugendhilfe mbH,Albrechtstr. 20,10117,52.5225161,13.3843925,01100308
1010020,Kita Kinderwelt,+49302291378,155,Reguläre Einrichtung,1334,Forum Soziale Dienste GmbH,An der Kolonnade 3,10117,52.5117496,13.3821186,01100205
1010030,FRÖBEL Kindergarten Casa Fantasia,+493048495184,69,Reguläre Einrichtung,1227,Fröbel Bildung und Erziehung gGmbH,Anklamer Str. 38,10115,52.5352300,13.3992512,01100416
1010080,Kita Regenbogen,+49304493238,91,Reguläre Einrichtung,1202,Pfefferwerk Stadtkultur gGmbH,Fehrbelliner Str. 80,10119,52.5321227,13.4049785,01100416
1010100,"FRÖBEL Kindergarten ""Schatzinsel""",+49302013788,234,Reguläre Einrichtung,1227,Fröbel Bildung und Erziehung gGmbH,Fischerinsel 8,10179,52.5123019,13.4055800,01100312
1010110,Kita Französische Str. 16a u. 16b,+49302089214,180,Reguläre Einrichtung,1318,Kinder im Kiez gGmbH,Französische Str. 16,10117,52.5145236,13.3879957,01100206
1010130,Kita Pelikan,+4930403662090,190,Reguläre Einrichtung,1339,Kinder- und Jugend der Volkssolidarität Berlin gGmbH,Friedrichstr. 129F,10117,52.5257708,13.3843202,01100308
1010150,Kita Gartenstr. 107/Kigä City,+49302828337,140,Reguläre Einrichtung,120,Kindergärten City,Gartenstr. 107,10115,52.5297102,13.3920791,01100415
1010170,Kita Kinderakademie,+49302824496,150,Reguläre Einrichtung,1224,GFJ - gemeinnützige Gesellschaft für Familien- und Jugendhilfe mbH,Habersaathstr. 13,10115,52.5311590,13.3751836,01100308
1010180,Lichtenberger Straße 32/33,+49302492179,190,Reguläre Einrichtung,120,Kindergärten City,Lichtenberger Str. 32,10179,52.5151466,13.4238933,01100311
1010200,Kita Jerusalemer Str. 10/12/Kigä City,+493020216803,185,Reguläre Einrichtung,120,Kindergärten City,Jerusalemer Str. 10,10117,52.5118832,13.3968813,01100207
1010210,Kita Kleine Auguststr. 10/11Kigä City,+49302826045,220,Reguläre Einrichtung,120,Kindergärten City,Kleine Auguststr. 11,10119,52.5280648,13.3991697,01100309
1010250,Kita Max-Beer-Str. 24/26/Kigä City,+49302476849,200,Reguläre Einrichtung,120,Kindergärten City,Max-Beer-Str. 24,10119,52.5259991,13.4088002,01100310
1010280,"FRÖBEL Kindergarten ""Traumzauberbaum""",+49302419156,240,Reguläre Einrichtung,1227,Fröbel Bildung und Erziehung gGmbH,Mollstr. 7A,10178,52.5233631,13.4212348,01100311
1010330,Kita Umka,+493017683176995,65,Reguläre Einrichtung,8368,MITRA bilinguale Kindergärten gemeinnützige GmbH,Leipziger Str. 47,10117,52.5101967,13.3976309,01100207
1010360,Kita Schwedter Straße,+49304493459,120,Reguläre Einrichtung,1318,Kinder im Kiez gGmbH,Schwedter Str. 232,10435,52.5386292,13.4042929,01100416
1010390,Kita Pfiffikus,+4930283057224,150,Reguläre Einrichtung,1205,BIK e.V. Berliner Institut für Kleinkindpädagogik und familienbegleitende Kinderbetreuung,Rückerstr. 2,10119,52.5277196,13.4071017,01100309
1010410,Kita Trauminsel,+49302794009,85,Reguläre Einrichtung,1334,Forum Soziale Dienste GmbH,Schmidstr. 2,10179,52.5088212,13.4187632,01100313
1010450,Kita Villa Murkelmaier,+49302792668,94,Reguläre Einrichtung,1224,GFJ - gemeinnützige Gesellschaft für Familien- und Jugendhilfe mbH,Sebastianstr. 22,10179,52.5074744,13.4104479,01100312
1010460,Kita Pusteblume,+49302792210,86,Reguläre Einrichtung,1224,GFJ - gemeinnützige Gesellschaft für Familien- und Jugendhilfe mbH,Sebastianstr. 23,10179,52.5077821,13.4103248,01100312
1010470,Kita Veteranenstr. 10/Kigä City,+493047378193,133,Reguläre Einrichtung,120,Kindergärten City,Veteranenstr. 10,10119,52.5329678,13.4017116,01100416
1010500,Kita Weydemeyerstr. 20/21,+49302419151,138,Reguläre Einrichtung,120,Kindergärten City,Weydemeyerstr. 20,10178,52.5204786,13.4268257,01100311
1010550,Kita Oase,+493044383661,95,Reguläre Einrichtung,1202,Pfefferwerk Stadtkultur gGmbH,Kastanienallee 63A,10119,52.5340535,13.4070154,01100416
1010560,Kita St. Elisabeth,+49304496527,125,Reguläre Einrichtung,5425,Ev. Kirchenkreisverband für Kindertageseinrichtungen Berlin Mitte-Nord,Elisabethkirchstr. 21,10115,52.5333639,13.3966946,01100415
1010570,Zions-Kindergarten,+493062737521,85,Reguläre Einrichtung,5425,Ev. Kirchenkreisverband für Kindertageseinrichtungen Berlin Mitte-Nord,Griebenowstr. 16,10435,52.5354204,13.4050315,01100416
1010580,Ev. Kita Sophien,+493024342439,84,Reguläre Einrichtung,5425,Ev. Kirchenkreisverband für Kindertageseinrichtungen Berlin Mitte-Nord,Große Hamburger Str. 28,10115,52.5251088,13.3991239,01100309
1010590,Kindergarten Alegria Jardin infantil,+493051055655,100,Reguläre Einrichtung,1301,Alegria Kiga gGmbH,Mohrenstr. 7,10117,52.5118194,13.3872930,01100207
1010620,Kita Habersaathstraße,+49302823535,90,Reguläre Einrichtung,1312,INA.KINDER.GARTEN gGmbH,Habersaathstr. 5,10115,52.5314533,13.3742262,01100308
1010630,Kita Kinderinsel,+493041716928,30,Reguläre Einrichtung,1310,Kinderinsel e. V. Inselnest,Eichendorffstr. 17,10115,52.5301391,13.3873207,01100415
1010640,Kinderladen Rosenthaler Vorstadt,+493054713948,19,Reguläre Einrichtung,1152,Kinderladen Rosenthaler Vorstadt e.V.,Wolliner Str. 60,10435,52.5369362,13.4034932,01100416
1010720,Kita Fürstenberger Str. 4/5/Kigä City,+49304620678,180,Reguläre Einrichtung,120,Kindergärten City,Fürstenberger Str. 4,10435,52.5371341,13.4047674,01100416
1010810,EKT - Rosinante,+49301636939419,17,Reguläre Einrichtung,1173,Rosinante e.V.,Strelitzer Str. 71,10115,52.5340029,13.3961435,01100415
1010830,"EKT - ""Pippi Langstrumpf""",+49302479252,21,Reguläre Einrichtung,508,Kinderladen Pippi Langstrumpf e.V.,Krausnickstr. 3A,10115,52.5249316,13.3963974,01100309
1010850,Kita Cavalo-Marinho/Portubi e.V.,+493048491840,30,Reguläre Einrichtung,1332,PORTUBI e. V.,Anklamer Str. 46,10115,52.5348946,13.3967907,01100415
1010870,Kinderladen Oskar Kirschkern,+493017643318775,35,Reguläre Einrichtung,772,Kirschkern e.V.,Anklamer Str. 29,10115,52.5362691,13.4004328,01100416
1010890,Kindergarten Alegria,+493051055655,45,Reguläre Einrichtung,1301,Alegria Kiga gGmbH,Voßstr. 12,10117,52.5113329,13.3800458,01100205
1010940,EKT NaturKindergarten Berlin Mitte,+493027596089,19,Reguläre Einrichtung,1388,Initiative zur Gründung eines Naturkindergartens in Berlin Mitte e.V.,Krausnickstr. 11,10115,52.5252701,13.3983486,01100309
1010950,Musikkindergarten Berlin,+493070084892,135,Reguläre Einrichtung,1713,MUSIKKINDERGARTEN BERLIN e.V. c/o Staatsoper im Schillertheater,Leipziger Str. 41,10117,52.5099856,13.3942670,01100207
1010960,Kinderladen Paul Kirschkern,+493017643320882,25,Reguläre Einrichtung,772,Kirschkern e.V.,Anklamer Str. 29,10115,52.5362691,13.4004328,01100416
1010980,Berlin Metropolitan School,+4930887273918,140,Reguläre Einrichtung,7373,Berlin Metropolitan School gGmbH,Linienstr. 122,10115,52.5269167,13.3904888,01100309
1011000,Lauder Nitzan Kindergarten Yeshivat Beit Zion-Lauder Jüdisches Lehrhaus,+4930405046925,70,Reguläre Einrichtung,1391,Lauder Yeshurun gGmbH,Brunnenstr. 33,10115,52.5353742,13.3981489,01100416
1011020,Kita CASA AZUL - MAISON BLEUE,+493024083164,45,Reguläre Einrichtung,7393,CASA AZUL - BLAUES HAUS e.V.,Reinhardtstr. 31,10117,52.5226322,13.3808505,01100308
1011030,Kita Torstraße,+493024628214,102,Reguläre Einrichtung,7434,"Be Smart Academy ""Alte Seifenfabrik"" gGmbH",Torstr. 134,10119,52.5293151,13.3998776,01100309
1011270,Kita jurella am Park,+493052667912,54,Reguläre Einrichtung,8250,Jurella gGmbH,Chausseestr. 50B,10115,52.5356345,13.3782489,01100414
1011290,Kinderladen IrgendWieAnders,+493017624464410,25,Reguläre Einrichtung,8120,FürKinder e. V.,Wilhelmine-Gemberg-Weg 10,10179,52.5105768,13.4245991,01100313
1011300,Kinderladen Emil Kirschkern,+493017643327555,25,Reguläre Einrichtung,772,Kirschkern e.V.,Ackerstr. 3A,10115,52.5300609,13.3979118,01100415
1011330,Kita an der Humboldt-Universität zu Berlin,+4930939398620,88,Reguläre Einrichtung,1256,studierendenWERK BERLIN,Ziegelstr. 5,10117,52.5233653,13.3897666,01100309
1011400,FRÖBEL - Kindergarten Charité Mitte,+493028094011,70,Reguläre Einrichtung,1227,Fröbel Bildung und Erziehung gGmbH,Invalidenstr. 103A,10115,52.5297997,13.3808331,01100308
1011470,Kita Schmidchen,+493040362060,215,Reguläre Einrichtung,1339,Kinder- und Jugend der Volkssolidarität Berlin gGmbH,Schmidstr. 4,10179,52.5094038,13.4188248,01100313
1011490,Deutsch-Italienische Kita/Kigä City,+4930830290,55,Reguläre Einrichtung,120,Kindergärten City,Schmidstr. 2E,10179,52.5088863,13.4182525,01100313
1011510,Inklusionskita Salamander Fischerinsel,+493053843379,25,Reguläre Einrichtung,9013,Kita Salamander gGmbH,Mühlendamm 1,10179,52.5142170,13.4064494,01100312
1020010,Kita Fantasia,+49309895301,135,Reguläre Einrichtung,107,Orte für Kinder GmbH,Bredowstr. 27A,10551,52.5319225,13.3398257,01200520
1020020,Kita Paradies für Kinder,+49309480196,98,Reguläre Einrichtung,1296,Jugend- und Sozialwerk gGmbH,Calvinstr. 16,10557,52.5209139,13.3509596,01200626
1020030,Kita Emdener Str. 11/Kigä City,+49309408573,220,Reguläre Einrichtung,120,Kindergärten City,Emdener Str. 11,10551,52.5292852,13.3340546,01200519
1020040,Kita Havelberger Str. 21/Kigä City,+49309494392,158,Reguläre Einrichtung,120,Kindergärten City,Havelberger Str. 21,10559,52.5328078,13.3467381,01200623
1020050,Kita/Kinder in Bewegung (KiB),+49306409507,93,Reguläre Einrichtung,1329,Kinder in Bewegung gGmbH Gemeinnützige Kindergarten-Trägergesellschaft des Berliner Sports,Klopstockstr. 29,10557,52.5174164,13.3402886,01200629
1020060,Evangelische Kindertagesstätte St. Johannis der Gemeinde Tiergarten,+49309889094,75,Reguläre Einrichtung,450,Ev. Kirchengemeinde Tiergarten,Alt-Moabit 25,10559,52.5248293,13.3492680,01200626
1020080,Kita Birkelinchen/Ev. Kirchengem. Heilige-Geist,+493044724023,30,Reguläre Einrichtung,451,Ev. Kirchengemeinde Heilige-Geist,Birkenstr. 60,10559,52.5307477,13.3460798,01200625
1020090,KITA Sonnenschein,+493023005178,135,Reguläre Einrichtung,1355,Käpt'n Browser gemeinnützige Gesellschaft mit beschränkter Haftung,Pohlstr. 87,10785,52.5013794,13.3610906,01100103
1020100,Kita Rathenower Str. 15/Kigä City,+493074780168,200,Reguläre Einrichtung,120,Kindergärten City,Rathenower Str. 15,10559,52.5286420,13.3542687,01200623
1020110,Kita Otto,+4930927979,45,Reguläre Einrichtung,5425,Ev. Kirchenkreisverband für Kindertageseinrichtungen Berlin Mitte-Nord,Ottostr. 16,10555,52.5259849,13.3355461,01200521
1020120,Kita Sprachwelt,+49309480513,110,Reguläre Einrichtung,1296,Jugend- und Sozialwerk gGmbH,Rostocker Str. 32A,10553,52.5318605,13.3258526,01200518
1020160,Ev. Kita Erlöser,+4930912489,60,Reguläre Einrichtung,5425,Ev. Kirchenkreisverband für Kindertageseinrichtungen Berlin Mitte-Nord,Wikingerufer 9,10555,52.5220022,13.3303401,01200522
1020180,Kita Holsteiner Ufer 12/Kigä City,+49306409506,115,Reguläre Einrichtung,120,Kindergärten City,Holsteiner Ufer 12,10557,52.5220026,13.3433571,01200629
1020200,Spreekita,+493022635770,110,Reguläre Einrichtung,5425,Ev. Kirchenkreisverband für Kindertageseinrichtungen Berlin Mitte-Nord,Paulstr. 20D,10557,52.5189563,13.3559174,01200628
1020210,Kath. Kita St. Laurentius,+4930259365125,65,Reguläre Einrichtung,9193,Kitas im Erzbistum Berlin-Zweckverband der katholischen Kirchengemeinden,Bandelstr. 41,10559,52.5271455,13.3497207,01200625
1020230,EKT - Cocorico et Co,+493025799626,19,Reguläre Einrichtung,562,COCORICO et Co. e. V.,Kluckstr. 29,10785,52.5027467,13.3614655,01100103
1020240,Kita Alt-Moabit 117/Kigä City,+49309805060,105,Reguläre Einrichtung,120,Kindergärten City,Alt-Moabit 117,10559,52.5236798,13.3543363,01200626
1020270,AWO Kita Maulwurf,+49302618950,100,Reguläre Einrichtung,150,Arbeiterwohlfahrt Kreisverband Berlin-Mitte e.V.,Lützowstr. 83,10785,52.5031551,13.3629679,01100103
1020280,AWO Kita Schmetterling,+49309741995,65,Reguläre Einrichtung,150,Arbeiterwohlfahrt Kreisverband Berlin-Mitte e.V.,Turmstr. 71,10551,52.5268409,13.3322956,01200521
1020310,EKT - Frecher Spatz,+4930914540,20,Reguläre Einrichtung,636,Frecher Spatz e.V.,Elberfelder Str. 18,10555,52.5216750,13.3357046,01200522
1020440,Kinderladen Stoppelhopser,+4930957578,25,Reguläre Einrichtung,1006,Stoppelhopser e.V.,Quitzowstr. 136,10559,52.5351517,13.3516307,01200623
1020480,Kita Lehrter Straße 40,+49309703022,74,Reguläre Einrichtung,120,Kindergärten City,Lehrter Str. 40,10557,52.5349410,13.3586614,01200624
1020490,EKT - Maluch,+4930967815,30,Reguläre Einrichtung,1038,Verein zur Förderung und Integration polnischer Kinder in der Berliner Gesellschaft e.V.,Stephanstr. 17,10559,52.5342816,13.3496463,01200623
1020500,EKT - Perle,+4930945859,20,Reguläre Einrichtung,897,Perle e.V.,Wilsnacker Str. 14,10559,52.5276812,13.3517070,01200625
1020510,Kita Safina,+49309480386,20,Reguläre Einrichtung,8428,HadeWe-Integra gemeinnützige GmbH,Rostocker Str. 26,10553,52.5319680,13.3267774,01200518
1020520,EKT Flocke,+4930922126,25,Reguläre Einrichtung,626,Elterninitiativ-Kindertagesstätten (EKT) Verein Flocke e.V.,Bochumer Str. 11,10555,52.5218419,13.3381790,01200522
1020550,EKT - Drunter und Drüber,+4930951860,23,Reguläre Einrichtung,602,EKT Drunter und Drüber Stromstraße 58 e.V.,Stromstr. 58,10551,52.5275208,13.3429946,01200520
1020580,EKT Schneckenhaus,+4930921261,18,Reguläre Einrichtung,636,Frecher Spatz e.V.,Flemingstr. 11,10557,52.5207443,13.3568648,01200628
1020620,EKT - ALIBABA,+4930962664,15,Reguläre Einrichtung,521,Ali Baba e.V.,Waldstr. 15,10551,52.5299493,13.3315409,01200519
1020630,EKT Regenbogen,+4930935555,18,Reguläre Einrichtung,921,Eltern-Initiativ-Kindertagesstätte Regenbogen e.V.,Calvinstr. 13,10557,52.5218060,13.3512961,01200626
1020640,EKT - Kinderladen Badehaus,+4930946069,26,Reguläre Einrichtung,744,Kinderladen Badehaus e.V.,Wilsnacker Str. 62,10559,52.5273290,13.3513414,01200625
1020670,"EKT - Panther, Tiger und Co.",+49301775069879,25,Reguläre Einrichtung,1054,VSU-Verein für Sozial- und Umweltpolitik Berlin e.V.,Lübecker Str. 13,10559,52.5285413,13.3455641,01200625
1020680,EKT - Sagaland,+4930953052,18,Reguläre Einrichtung,942,Sagaland e.V.,Quitzowstr. 125,10559,52.5348202,13.3486810,01200623
1020700,Kita Emdener Str.,+4930951367,50,Reguläre Einrichtung,8662,Forum Soziale Dienste Kita I GmbH,Emdener Str. 28,10551,52.5322995,13.3347883,01200519
1020730,Kita Huttenstr. 22A/Kigä City,+4930443521,85,Reguläre Einrichtung,120,Kindergärten City,Huttenstr. 22A,10553,52.5290891,13.3188507,01200517
1020740,Kita Lützowstraße,+493023005177,115,Reguläre Einrichtung,1312,INA.KINDER.GARTEN gGmbH,Lützowstr. 61,10785,52.5048745,13.3552112,01100103
1020750,Kita Lüneburger Straße,+49309480391,95,Reguläre Einrichtung,1312,INA.KINDER.GARTEN gGmbH,Lüneburger Str. 14,10557,52.5202433,13.3574347,01200628
1020760,EKT - Arche Moabit,+4930495838,32,Reguläre Einrichtung,533,Arche Moabit e.V.,Huttenstr. 31,10553,52.5295152,13.3154966,01200517
1020770,Kita Kleiner Frosch,+4930965210,40,Reguläre Einrichtung,8729,TEVBB Soziale Dienste GmbH,Lübecker Str. 32,10559,52.5301733,13.3447376,01200625
1020780,Kenntnisreich Kindertagesstätte Am Zoo,+493026931422,39,Reguläre Einrichtung,8259,Kenntnisreich Kindertagesstätten gGmbH,Katharina-Heinroth-Ufer 1,10787,52.5078765,13.3443761,01100101
1020790,KiBiLuga,+49302641248,130,Reguläre Einrichtung,107,Orte für Kinder GmbH,Bissingzeile 15,10785,52.5030870,13.3703462,01100104
1020820,Kita Pädagogisches Arbeitskollektiv,+4930962071,35,Reguläre Einrichtung,1253,Pädagogisches Arbeitskollektiv e.V.,Emdener Str. 47,10551,52.5298208,13.3337159,01200519
1020830,Kita Verein für praktische Pädagogik,+4930924465,45,Reguläre Einrichtung,1263,Verein für praktische Pädagogik Moabit e.V.,Alt-Moabit 133B,10557,52.5224245,13.3606699,01200628
1020840,Kinder- und Schülerladen Olle Burg,+4930955572,30,Reguläre Einrichtung,5309,Fokus plus gGmbH,Waldstr. 42,10551,52.5305535,13.3310890,01200519
1020850,EKT - Der Kick - Initiative im Kiez,+4930954982,16,Reguläre Einrichtung,5309,Fokus plus gGmbH,Birkenstr. 33,10551,52.5326007,13.3409324,01200520
1020860,Kinderladen Rosa Kirchkern,+493017643316670,28,Reguläre Einrichtung,772,Kirschkern e.V.,Bochumer Str. 2,10555,52.5246172,13.3376453,01200522
1020870,Kita Hansa-Ufer 3a Kigä City,+49304620664,100,Reguläre Einrichtung,120,Kindergärten City,Hansa-Ufer 3A,10555,52.5191044,13.3366006,01200522
1020890,Kita am Lützowplatz 1,+493075940911,30,Reguläre Einrichtung,8259,Kenntnisreich Kindertagesstätten gGmbH,Lützowplatz 1,10785,52.5050715,13.3539293,01100103
1020900,Kita Swimmy,+49309880470,25,Reguläre Einrichtung,7859,MiniKitas First gGmbH,Siemensstr. 10,10551,52.5326311,13.3323474,01200519
1020950,Kita SOS-Kinderdorf,+493099341,126,Reguläre Einrichtung,1347,SOS-Kinderdorf e.V.,Waldstr. 23,10551,52.5315626,13.3319456,01200519
1020960,Kita an der UdK,+4930939398480,70,Reguläre Einrichtung,1256,studierendenWERK BERLIN,Siegmunds Hof 17,10555,52.5155719,13.3355860,01200629
1021000,FRÖBEL Kindergarten Stepping Stones,+493046997770,170,Reguläre Einrichtung,1227,Fröbel Bildung und Erziehung gGmbH,Lützowstr. 106,10785,52.5012452,13.3686876,01100104
1021010,Kita Cheburashka-Tiergarten,+49309886617,26,Reguläre Einrichtung,7388,Cheburashka gGmbH,Wilsnacker Str. 40,10559,52.5313454,13.3497313,01200623
1021060,EKT biberbau,+493052102116,20,Reguläre Einrichtung,636,Frecher Spatz e.V.,Elberfelder Str. 19,10555,52.5215011,13.3356832,01200522
1021090,Kinderladen Katz & Kedi,+4930916129,24,Reguläre Einrichtung,636,Frecher Spatz e.V.,Jagowstr. 28,10555,52.5234770,13.3338042,01200522
1021100,Die Bärenbande,+493098435840,23,Reguläre Einrichtung,7754,BEB Bildungseinrichtung für Erziehung und Bildung e.V.,Rostocker Str. 37,10553,52.5303066,13.3264690,01200518
1021140,Kita Arlecchino,+4930983955,21,Reguläre Einrichtung,7989,Arlecchino gUG (haftungsbeschränkt),Alt-Moabit 35,10555,52.5248019,13.3346031,01200521
1021160,Kita Spielraum Perlentaucher,+49309881662,50,Reguläre Einrichtung,9198,SpielRaum Kindertagesstätten Berlin gGmbH,Perleberger Str. 47,10559,52.5309310,13.3478701,01200623
1021170,Kindergarten Schatztruhe,+493063966448,45,Reguläre Einrichtung,8140,"MI-SA-DI gUG (haftungsbeschränkt) gemeinnützige Unternehmergesellschaft für Migration, Soziale Arbeit und Dialog",Spenerstr. 37,10557,52.5232421,13.3541551,01200626
1021180,Kita Elfenbein,+49304507967,35,Reguläre Einrichtung,8150,GFBE gGmbH- Gesellschaft für Bildung und Erziehung,Huttenstr. 21,10553,52.5286106,13.3190267,01200517
1021190,AWO Kita am Spreebogen,+493044724001,40,Reguläre Einrichtung,150,Arbeiterwohlfahrt Kreisverband Berlin-Mitte e.V.,Alt-Moabit 98,10559,52.5247730,13.3464546,01200626
1021200,Kita Brighella,+49309839557,15,Reguläre Einrichtung,7989,Arlecchino gUG (haftungsbeschränkt),Alt-Moabit 37,10555,52.5246653,13.3338432,01200521
1021210,Kita Olle Burg,+493020679347,12,Reguläre Einrichtung,5309,Fokus plus gGmbH,Waldstr. 41,10551,52.5306906,13.3311236,01200519
1021220,KiLa Jagowspatzen,+49302304860,60,Reguläre Einrichtung,636,Frecher Spatz e.V.,Jagowstr. 10,10555,52.5219046,13.3341334,01200522
1021230,Kita am Essener Park,+49309840277,50,Reguläre Einrichtung,9200,GemBeki Gemeinsinn-für Berliner Kinder gGmbH,Alt-Moabit 86,10555,52.5253912,13.3414208,01200522
1021240,Kita Engelsnest,+493049085470,25,Reguläre Einrichtung,8360,Liberi Bildung gemeinnützige GmbH,Kaiserin-Augusta-Allee 101,10553,52.5256332,13.3197580,01200517
1021250,Kita Apfelkern,+493049089209,25,Reguläre Einrichtung,8372,MetropolitanKids UG (haftungsbeschränkt),Elberfelder Str. 28,10555,52.5223680,13.3362046,01200522
1021260,Kita Safina,+493094513770,20,Reguläre Einrichtung,8428,HadeWe-Integra gemeinnützige GmbH,Erasmusstr. 7A,10553,52.5267855,13.3266486,01200518
1021270,Kita Spielraum Havelsegler,+49309405500,25,Reguläre Einrichtung,8130,GenerationenRaum gemeinnützige Gesellschaft zur Förderung generationsübergreifender Interaktion mbH,Havelberger Str. 12,10559,52.5334349,13.3473441,01200623
1021300,Kita Bahnhof,+49305050922,25,Reguläre Einrichtung,8645,Vielfalt auf Augenhöhe gGmbH,Lützowstr. 68,10785,52.5045757,13.3568093,01100103
1021310,Kita Kolibri,+4930505696850,15,Reguläre Einrichtung,5309,Fokus plus gGmbH,Jagowstr. 18,10555,52.5232462,13.3342655,01200522
1021320,SpielRaum Stephanshafen,+493026598704,20,Reguläre Einrichtung,8130,GenerationenRaum gemeinnützige Gesellschaft zur Förderung generationsübergreifender Interaktion mbH,Stephanstr. 53,10559,52.5339223,13.3491570,01200623
1021330,Kita Bellevue,+493040748134,25,Reguläre Einrichtung,8675,fidea Bildung gGmbH,Paulstr. 18,10557,52.5203296,13.3554932,01200626
1021340,Kita Elfenblume,+493099993235,25,Reguläre Einrichtung,8589,Forum für Bildung und Erziehung (FBE) gGmbH,Rostocker Str. 28,10553,52.5322403,13.3267670,01200518
